物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL
サンガーデン片島,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩12分,築28年,2階,2LDK,51.37m2,5.5万円,https://suumo.jp/chintai/jnc_000099481743/?bc=100444196766
ルヴァンヴェール,大分県大分市大字永興,南大分駅,ＪＲ久大本線/南大分駅 歩16分,築6年,8階,1DK,30.02m2,5.2万円,https://suumo.jp/chintai/jnc_000099381379/?bc=100444628611
Ｐｒｏｍｅｎａｄｅ　Ｓ．Ｔ,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩12分
ＪＲ久大本線/南大分駅 歩18分",築18年,2階,1LDK,37.13m2,4.45万円,https://suumo.jp/chintai/jnc_000091380279/?bc=100427309713
トレステーラ　プランドールIV,大分県大分市竹の上,南大分駅,ＪＲ久大本線/南大分駅 歩6分,築9年,5階,1DK,29.69m2,4.7万円,https://suumo.jp/chintai/jnc_000099502745/?bc=100444768244
コンフォールコートＣ,大分県大分市浜中,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩5分
ＪＲ日豊本線/大在駅 バス9分 (バス停)坂の市 歩8分
ＪＲ日豊本線/大分駅 バス44分 (バス停)坂の市 歩8分",築22年,2階,2LDK,51.67m2,4.5万円,https://suumo.jp/chintai/jnc_000094164980/?bc=100410005592
ロゼア鶴崎駅前,大分県大分市北鶴崎１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩6分
ＪＲ日豊本線/大在駅 歩43分
ＪＲ日豊本線/高城駅 歩47分",築6年,5階,1LDK,41.6m2,5.3万円,https://suumo.jp/chintai/jnc_000099193187/?bc=100442183504
イースト・カズ,大分県大分市東浜１,牧駅,ＪＲ日豊本線/牧駅 歩22分,築17年,2階,1LDK,42.37m2,4.7万円,https://suumo.jp/chintai/jnc_000081501212/?bc=100438850119
スターテラス　小池原,大分県大分市大字小池原,高城駅,ＪＲ日豊本線/高城駅 歩22分,築17年,2階,1LDK,44.52m2,4.7万円,https://suumo.jp/chintai/jnc_000014853639/?bc=100431787894
ＪＲ日豊本線 大在駅 2階建 築31年,大分県大分市竹下１,大在駅,"ＪＲ日豊本線/大在駅 歩8分
ＪＲ日豊本線/坂ノ市駅 バス8分 (バス停)平野 歩5分
ＪＲ日豊本線/大分駅 バス39分 (バス停)平野 歩5分",築31年,2階,2LDK,54.34m2,5万円,https://suumo.jp/chintai/jnc_000099397802/?bc=100444067618
プロムナードＳ．Ｔ　III,大分県大分市賀来北１,賀来駅,ＪＲ久大本線/賀来駅 歩12分,築8年,2階,2LDK,58.93m2,6.35万円,https://suumo.jp/chintai/jnc_000099331528/?bc=100443411690
クレールメゾン　Ｂ,大分県大分市坂ノ市西２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩18分
ＪＲ日豊本線/大在駅 歩49分
ＪＲ日豊本線/鶴崎駅 歩94分",築22年,2階,2LDK,53.59m2,5.6万円,https://suumo.jp/chintai/jnc_000096780777/?bc=100429066525
プレミール８番館,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩20分
大分バス/羽田入口 歩1分",築20年,3階,1LDK,44.8m2,5.3万円,https://suumo.jp/chintai/jnc_000059184423/?bc=100443583303
メゾン　エトワールII,大分県大分市小中島２,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩19分,築18年,2階,2DK,40.45m2,4.55万円,https://suumo.jp/chintai/jnc_000097686240/?bc=100434107463
アルバ０７,大分県大分市賀来西２,賀来駅,ＪＲ久大本線/賀来駅 歩13分,築19年,2階,2LDK,61.6m2,6.6万円,https://suumo.jp/chintai/jnc_000085706600/?bc=100439720995
ＪＲ久大本線 賀来駅 2階建 築19年,大分県大分市賀来西２,賀来駅,"ＪＲ久大本線/賀来駅 歩13分
ＪＲ日豊本線/大分駅 バス23分 (バス停)下角の前 歩5分",築19年,2階,2LDK,61.6m2,6.6万円,https://suumo.jp/chintai/jnc_000098882730/?bc=100444067646
サンライト才賀　II,大分県大分市賀来北１,賀来駅,ＪＲ久大本線/賀来駅 歩11分,築7年,2階,1LDK,44.66m2,5.5万円,https://suumo.jp/chintai/jnc_000099560376/?bc=100439721020
アクシオンIII,大分県大分市東浜１,牧駅,ＪＲ日豊本線/牧駅 歩25分,築14年,3階,1LDK,44.8m2,5.5万円,https://suumo.jp/chintai/jnc_000099457248/?bc=100444038644
ウィンディア高木,大分県大分市徳島３,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩17分
ＪＲ日豊本線/大在駅 歩48分",築30年,2階,2LDK,52.84m2,4.3万円,https://suumo.jp/chintai/jnc_000098030293/?bc=100444444070
フォルトゥーナ横尾A・B　B棟,大分県大分市横尾東町３,,-/大分バス　中筋 歩3分,築6年,2階,1LDK,42m2,5.7万円,https://suumo.jp/chintai/jnc_000056537547/?bc=100434111539
グレーシア皆春,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩23分
ＪＲ日豊本線/高城駅 歩35分
ＪＲ日豊本線/牧駅 歩56分",築10年,2階,1LDK,38.32m2,5.1万円,https://suumo.jp/chintai/jnc_000098968922/?bc=100435877252
シャーメゾン豊府,大分県大分市羽屋３,古国府駅,"ＪＲ久大本線/古国府駅 歩16分
ＪＲ久大本線/南大分駅 歩23分
ＪＲ日豊本線/大分駅 バス18分 (バス停)南太平寺入口 歩7分",築16年,2階,1LDK,46.07m2,6万円,https://suumo.jp/chintai/jnc_000088693458/?bc=100442340405
ベルエスパス,大分県大分市日岡１,高城駅,"ＪＲ日豊本線/高城駅 歩12分
ＪＲ日豊本線/大分駅 バス22分 (バス停)新高松 歩2分",築12年,2階,1LDK,46.09m2,5.5万円,https://suumo.jp/chintai/jnc_000097679775/?bc=100431426950
クレールメゾン　Ｄ,大分県大分市坂ノ市西２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩17分
ＪＲ日豊本線/大在駅 歩49分
ＪＲ日豊本線/鶴崎駅 歩94分",築16年,2階,2DK,45.26m2,5.3万円,https://suumo.jp/chintai/jnc_000050934022/?bc=100426530394
Ｓｗｅｅｔ　Ｈｏｍｅ,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩25分
大分バス/大分大学入口 歩23分",築22年,2階,2DK,46.06m2,4.8万円,https://suumo.jp/chintai/jnc_000088108064/?bc=100385919181
サン松山Ｂ,大分県大分市萩原４,牧駅,"ＪＲ日豊本線/牧駅 歩15分
ＪＲ日豊本線/高城駅 バス3分 (バス停)西萩原 歩7分
ＪＲ日豊本線/大分駅 バス19分 (バス停)萩原本町 歩1分",築18年,2階,1LDK,42.37m2,5万円,https://suumo.jp/chintai/jnc_000096843569/?bc=100425361618
シャーメゾン昴　Ｅ棟,大分県大分市大字津守,,-/津守新町 歩5分,築22年,2階,3DK,57.81m2,6.05万円,https://suumo.jp/chintai/jnc_000097316971/?bc=100402077360
グリーンウェーブ,大分県大分市下郡北３,牧駅,"ＪＲ日豊本線/牧駅 歩15分
ＪＲ日豊本線/大分駅 バス15分 (バス停)北下郡 歩5分",築23年,2階,2LDK,54.78m2,6.2万円,https://suumo.jp/chintai/jnc_000098939936/?bc=100443792534
モデルノ　カーサ,大分県大分市大字荏隈,南大分駅,ＪＲ久大本線/南大分駅 歩13分,築14年,3階,1LDK,55.04m2,5.55万円,https://suumo.jp/chintai/jnc_000099331522/?bc=100443411685
パティオＩＭＯＴＯ,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩11分,築27年,2階,2DK,50.99m2,4.7万円,https://suumo.jp/chintai/jnc_000061344551/?bc=100443937834
ＪＲ久大本線 南大分駅 2階建 築25年,大分県大分市大字荏隈,南大分駅,"ＪＲ久大本線/南大分駅 歩12分
ＪＲ久大本線/賀来駅 歩22分
ＪＲ日豊本線/大分駅 バス13分 (バス停)中の瀬団地入口 歩1分",築25年,2階,2LDK,54.78m2,5.95万円,https://suumo.jp/chintai/jnc_000098564933/?bc=100444067620
ユーミー奥田,大分県大分市大字荏隈明磧,南大分駅,ＪＲ久大本線/南大分駅 歩16分,築13年,4階,1LDK,41.04m2,5.5万円,https://suumo.jp/chintai/jnc_000099020077/?bc=100440950668
サニーガーデンＡ,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩28分,築10年,2階,1LDK,45.89m2,4.75万円,https://suumo.jp/chintai/jnc_000097679767/?bc=100430409589
サンシャインシティ2・牧上,大分県大分市大字牧大迫,牧駅,"ＪＲ日豊本線/牧駅 歩8分
ＪＲ日豊本線/高城駅 歩25分
ＪＲ日豊本線/大分駅 歩44分",築7年,2階,1LDK,44.88m2,5.4万円,https://suumo.jp/chintai/jnc_000044344128/?bc=100433052182
サンビレッジ皆春,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩12分
ＪＲ日豊本線/高城駅 歩29分
ＪＲ日豊本線/牧駅 歩49分",築32年,2階,3LDK,60.35m2,5.5万円,https://suumo.jp/chintai/jnc_000099516838/?bc=100413156773
大滝前田ビルＢ,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩13分,築11年,3階,1K,31.65m2,4.7万円,https://suumo.jp/chintai/jnc_000098990622/?bc=100440806067
ユーミー葵,大分県大分市三佐１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩24分
ＪＲ日豊本線/高城駅 歩35分
ＪＲ日豊本線/大在駅 歩63分",築15年,3階,1LDK,41.04m2,5.2万円,https://suumo.jp/chintai/jnc_000032992930/?bc=100421404648
リヴィエールI・II　I棟,大分県大分市里２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩13分,築18年,2階,2LDK,59.58m2,6.2万円,https://suumo.jp/chintai/jnc_000098851004/?bc=100428872869
ブルーム千歳,大分県大分市大字千歳,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩31分
ＪＲ日豊本線/大分駅 バス34分 (バス停)桃園団地中 歩3分",築12年,2階,1LDK,40.05m2,4.9万円,https://suumo.jp/chintai/jnc_000044520238/?bc=100407735345
第２宗コーポＡ棟,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩26分,築27年,3階,2DK,46.37m2,5万円,https://suumo.jp/chintai/jnc_000091218962/?bc=100385161072
エスペランササキ　Ａ棟,大分県大分市三佐２,鶴崎駅,"-/海原橋東 歩4分
ＪＲ日豊本線/鶴崎駅 歩19分",築31年,2階,2LDK,54.81m2,5.2万円,https://suumo.jp/chintai/jnc_000080986242/?bc=100441953218
ファンタジー２１,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩19分,築28年,2階,2LDK,53.51m2,4.9万円,https://suumo.jp/chintai/jnc_000094601653/?bc=100434345061
メゾンオーブＣ,大分県大分市大字三佐,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩25分
ＪＲ日豊本線/高城駅 歩47分",築11年,2階,1LDK,45.82m2,5.05万円,https://suumo.jp/chintai/jnc_000095531058/?bc=100416010683
パシデルマーレ新川,大分県大分市新川町２,大分駅,"ＪＲ久大本線/大分駅 歩25分
ＪＲ豊肥本線/大分駅 歩25分
ＪＲ日豊本線/大分駅 歩25分",築13年,5階,1LDK,39.73m2,5.6万円,https://suumo.jp/chintai/jnc_000081165236/?bc=100444297001
メルベーユゆたか　Ａ棟,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩9分,築27年,2階,3DK,53.76m2,5.1万円,https://suumo.jp/chintai/jnc_000094772055/?bc=100401705625
サニーツユキ,大分県大分市大字荏隈,南大分駅,ＪＲ久大本線/南大分駅 歩14分,築24年,2階,2DK,42.77m2,4.8万円,https://suumo.jp/chintai/jnc_000098553948/?bc=100439016185
